,Unnamed: 0,title,link,0
59,59,Science Fiction,https://rateyourmusic.com/release/album/ornette-coleman/science-fiction/,9999.0
60,60,Search for the New Land,https://rateyourmusic.com/release/album/lee-morgan/search-for-the-new-land/,4.0
61,61,The Real McCoy,https://rateyourmusic.com/release/album/mccoy-tyner/the-real-mccoy/,5.0
62,62,Willisau (Quartet) 1991,https://rateyourmusic.com/release/album/anthony-braxton/willisau-quartet-1991/,21.0
63,63,We Insist! Max Roach's Freedom Now Suite,https://rateyourmusic.com/release/album/max-roach/we-insist-max-roachs-freedom-now-suite/,8.0
64,64,Free Jazz,https://rateyourmusic.com/release/album/the-ornette-coleman-double-quartet/free-jazz/,2.0
65,65,"Mercy, Mercy, Mercy!",https://rateyourmusic.com/release/album/the-cannonball-adderley-quintet/mercy-mercy-mercy/,7.0
66,66,Monk's Dream,https://rateyourmusic.com/release/album/the-thelonious-monk-quartet/monks-dream/,8.0
67,67,Coin Coin Chapter One: Gens de couleur libres,https://rateyourmusic.com/release/album/matana-roberts/coin-coin-chapter-one-gens-de-couleur-libres/,8.0
68,68,Juju,https://rateyourmusic.com/release/album/wayne-shorter/juju/,5.0
69,69,Money Jungle,https://rateyourmusic.com/release/album/duke-ellington-charlie-mingus-and-max-roach/money-jungle/,7.0
70,70,Those Who Throw Objects at the Crocodiles Will Be Asked to Retrieve Them,https://rateyourmusic.com/release/album/bruno-pernadas/those-who-throw-objects-at-the-crocodiles-will-be-asked-to-retrieve-them/,9999.0
71,71,Sketches of Spain,https://rateyourmusic.com/release/album/miles-davis/sketches-of-spain/,5.0
72,72,Maiden Voyage,https://rateyourmusic.com/release/album/herbie-hancock/maiden-voyage/,4.0
73,73,Knowledge of Self,https://rateyourmusic.com/release/album/billy-harper/knowledge-of-self/,2.0
74,74,The Sidewinder,https://rateyourmusic.com/release/album/lee-morgan/the-sidewinder/,4.0
75,75,The Grand Wazoo,https://rateyourmusic.com/release/album/the-mothers/the-grand-wazoo/,5.0
76,76,"Straight, No Chaser",https://rateyourmusic.com/release/album/thelonious-monk/straight-no-chaser/,5.0
77,77,Little Girl Blue,https://rateyourmusic.com/release/album/nina-simone/little-girl-blue/,11.0
78,78,It's Time,https://rateyourmusic.com/release/album/max-roach-and-his-chorus-and-orchestra/its-time/,6.0
79,79,Sahara,https://rateyourmusic.com/release/album/mccoy-tyner/sahara/,5.0
80,80,Crescent,https://rateyourmusic.com/release/album/john-coltrane-quartet/crescent/,5.0
81,81,Bronca Buenos Aires,https://rateyourmusic.com/release/album/jorge-lopez-ruiz/bronca-buenos-aires/,4.0
82,82,Machine Gun,https://rateyourmusic.com/release/album/the-peter-brotzmann-octet/machine-gun/,3.0
83,83,Brilliant Corners,https://rateyourmusic.com/release/album/thelonious-monk/brilliant-corners/,4.0
84,84,Evolution,https://rateyourmusic.com/release/album/grachan-moncur-iii/evolution/,4.0
85,85,The Blues and the Abstract Truth,https://rateyourmusic.com/release/album/oliver-nelson/the-blues-and-the-abstract-truth/,6.0
86,86,Adam's Apple,https://rateyourmusic.com/release/album/wayne-shorter/adams-apple/,6.0
87,87,Clifford Brown and Max Roach,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/clifford-brown-and-max-roach/,4.0
88,88,Study in Brown,https://rateyourmusic.com/release/album/clifford-brown-and-max-roach/study-in-brown/,9.0
89,89,You Must Believe in Spring,https://rateyourmusic.com/release/album/bill-evans/you-must-believe-in-spring/,7.0
