,title,type,link
718,DeDe Dinah / Ooh La La,Single,https://rateyourmusic.com/release/single/frankie-avalon/dede-dinah-ooh-la-la/
719,Walkin' With Mr. Lee / Promenade,Single,https://rateyourmusic.com/release/single/lee_allen/walkin_with_mr__lee___promenade/
720,Rockin' and Rollin',EP,https://rateyourmusic.com/release/ep/bill-haley-and-his-comets/rockin-and-rollin/
721,Rock and Roll Music,EP,https://rateyourmusic.com/release/ep/chuck-berry/rock-and-roll-music/
722,The Great Ball of Fire,EP,https://rateyourmusic.com/release/ep/jerry-lee-lewis/the-great-ball-of-fire/
723,"Lucky Lucky Bobby / Baby, She's Gone",Single,https://rateyourmusic.com/release/single/terry_dene/lucky_lucky_bobby___baby__shes_gone/
724,Everything to Me / Flip-Flop,Single,https://rateyourmusic.com/release/single/the-teenagers/everything-to-me-flip-flop/
725,Ricky,Album,https://rateyourmusic.com/release/album/ricky-nelson/ricky/
726,Bertha Lou / Til the Law Says Stop,Single,https://rateyourmusic.com/release/single/dorsey-burnette/bertha-lou-til-the-law-says-stop/
727,Two Timin' Woman / I Need Your Love,Single,https://rateyourmusic.com/release/single/jack-scott/two-timin-woman-i-need-your-love/
728,Great Balls of Fire / You Win Again,Single,https://rateyourmusic.com/release/single/jerry-lee-lewis/great-balls-of-fire-you-win-again/
729,Fujiyama Mama / No Wedding Bells for Joe,Single,https://rateyourmusic.com/release/single/wanda-jackson/fujiyama-mama-no-wedding-bells-for-joe/
730,Jingle Bell Rock / Captain Santa Claus (And His Reindeer Space Patrol),Single,https://rateyourmusic.com/release/single/bobby-helms/jingle-bell-rock-captain-santa-claus-and-his-reindeer-space-patrol/
731,Birddoggin' / Millionaire,Single,https://rateyourmusic.com/release/single/bill-craddock/birddoggin-millionaire/
732,Cast Iron Arm / You've Got Love,Single,https://rateyourmusic.com/release/single/peanuts-wilson/cast-iron-arm-youve-got-love/
733,"The ""Chirping"" Crickets",Album,https://rateyourmusic.com/release/album/the-crickets/the-chirping-crickets/
734,Rocking Rufus / What's the Use,Single,https://rateyourmusic.com/release/single/ramon_maupin/rocking_rufus___whats_the_use/
735,That Dood It / Baby Cries Over the Ocean,Single,https://rateyourmusic.com/release/single/james-brown-and-the-famous-flames/that-dood-it-baby-cries-over-the-ocean/
736,Chicken Hearted / I Like Love,Single,https://rateyourmusic.com/release/single/roy-orbison/chicken-hearted-i-like-love/
737,My Bucket's Got a Hole in It / Sweet Misery,Single,https://rateyourmusic.com/release/single/sonny-burgess/my-buckets-got-a-hole-in-it-sweet-misery/
738,I've Got Love if You Want It / I Fell in Love,Single,https://rateyourmusic.com/release/single/warren_smith/ive_got_love_if_you_want_it___i_fell_in_love/
739,Teen Age Letter / Wee Baby Blues,Single,https://rateyourmusic.com/release/single/joe-turner/teen-age-letter-wee-baby-blues/
740,I Told My Little Woman / Tell Me Pretty Baby,Single,https://rateyourmusic.com/release/single/lazy-lester/i-told-my-little-woman-tell-me-pretty-baby/
741,My Lovin' Arms / Two Young True Hearts,Single,https://rateyourmusic.com/release/single/buddy-childress/my-lovin-arms-two-young-true-hearts/
742,"Billy Boy, Billy Boy / All Right Baby",Single,https://rateyourmusic.com/release/single/janis-martin/billy-boy-billy-boy-all-right-baby/
743,Rocky-Rolly-Lover Boy / Second Anniversary,Single,https://rateyourmusic.com/release/single/judy_faye/rocky_rolly_lover_boy___second_anniversary/
744,How Will I Know? / Tiny Space Man,Single,https://rateyourmusic.com/release/single/bill_carlisle/how_will_i_know____tiny_space_man/
745,I Want You to Know / The Big Beat,Single,https://rateyourmusic.com/release/single/fats-domino/i-want-you-to-know-the-big-beat/
746,Enie Meanie Minie Mo / Standing in Your Window,Single,https://rateyourmusic.com/release/single/hoyt-johnson-and-the-four-recorders/enie-meanie-minie-mo-standing-in-your-window/
747,"Bertha Lou / Doggone It Baby, I'm In Love",Single,https://rateyourmusic.com/release/single/clint_miller/bertha_lou___doggone_it_baby__im_in_love/
748,Teen Queen / Comin' or Goin',Single,https://rateyourmusic.com/release/single/huelyn-duvall/teen-queen-comin-or-goin/
749,The Everly Brothers,Album,https://rateyourmusic.com/release/album/the-everly-brothers/the-everly-brothers-8/
750,Back to School Again / Rockin' at the Two I's,Single,https://rateyourmusic.com/release/single/wee-willie-harris/back-to-school-again-rockin-at-the-two-is/
751,She's Neat / Say That You Care,Single,https://rateyourmusic.com/release/single/dale-wright/shes-neat-say-that-you-care/
752,Sent Up / Can This Be Christmas,Single,https://rateyourmusic.com/release/single/the_falcons_f1/sent_up___can_this_be_christmas/
753,I'm Gonna Be a Wheel Someday / You Better Go Home,Single,https://rateyourmusic.com/release/single/bobby-mitchell/im-gonna-be-a-wheel-someday-you-better-go-home/
754,Whole Lotta Shakin',EP,https://rateyourmusic.com/release/ep/johnny-okeefe-the-dee-jays/whole-lotta-shakin/
755,The Stroll / Land of Beauty,Single,https://rateyourmusic.com/release/single/the_diamonds/the_stroll___land_of_beauty/
756,Twenty Flight Rock / Cradle Baby,Single,https://rateyourmusic.com/release/single/eddie-cochran/twenty-flight-rock-cradle-baby/
757,Satellite / Arrow in My Heart,Single,https://rateyourmusic.com/release/single/the_rocks__us_50s_/satellite___arrow_in_my_heart/
758,Stood Up / Waitin' in School,Single,https://rateyourmusic.com/release/single/ricky-nelson/stood-up-waitin-in-school/
759,Rock Billy Boogie / If You Want It Enough,Single,https://rateyourmusic.com/release/single/johnny-burnette/rock-billy-boogie-if-you-want-it-enough/
760,Sputnik II / With This Ring,Single,https://rateyourmusic.com/release/single/al_barkle/sputnik_ii___with_this_ring/
761,"Mary, Mary Lou / It's a Sin",Single,https://rateyourmusic.com/release/single/bill-haley-and-his-comets/mary-mary-lou-its-a-sin/
762,Rock-a-Bye Baby Blues / Rock the Bop,Single,https://rateyourmusic.com/release/single/brenda-lee/rock-a-bye-baby-blues-rock-the-bop/
763,Don't Bug Me Baby / Jamboree,Single,https://rateyourmusic.com/release/single/milton-allen/dont-bug-me-baby-jamboree/
764,Oh Baby / Please Come Home,Single,https://rateyourmusic.com/release/single/esquerita/oh_baby___please_come_home/
765,Jukebox Mama,Single,https://rateyourmusic.com/release/single/merdel_floyd/jukebox_mama/
766,Doin' All Right / Land Of Promises,Single,https://rateyourmusic.com/release/single/eddie_cash/doin_all_right___land_of_promises/
767,Oh Baby / Please Come Home,Single,https://rateyourmusic.com/release/single/esquerita/oh_baby___please_come_home/
768,Rock Old Sputnik / I'm Falling in Love,Single,https://rateyourmusic.com/release/single/nelson-young/rock-old-sputnik-im-falling-in-love/
769,The Little Moon Men / Come To Me,Single,https://rateyourmusic.com/release/single/lee_george/the_little_moon_men___come_to_me/
770,"For You / ""Boy!"" I Think It's Really Love",Single,https://rateyourmusic.com/release/single/the-rock-n-rollers/for-you-boy-i-think-its-really-love/
771,Red Hot Mama / Tell Me What to Do,Single,https://rateyourmusic.com/release/single/wayne_williams/red_hot_mama___tell_me_what_to_do/
772,El Show de Eddie Pequenino,Album,https://rateyourmusic.com/release/album/eddie-pequenino/el-show-de-eddie-pequenino/
773,Silly Sally / Mister Moon,Single,https://rateyourmusic.com/release/single/sammy_lara/silly_sally___mister_moon/
774,Rattle Shakin' Mama / Cheryl Baby,Single,https://rateyourmusic.com/release/single/mel_mcgonnigle/rattle_shakin_mama___cheryl_baby/
775,She Got Eyes / Shadow Street,Single,https://rateyourmusic.com/release/single/kip-tyler/she-got-eyes-shadow-street/
776,"Please My Love / Love Is Over, Love Is Done",Single,https://rateyourmusic.com/release/single/bonnie-guitar/please-my-love-love-is-over-love-is-done/
777,Wildcat Tamer / Number 9 Train,Single,https://rateyourmusic.com/release/single/tarheel-slim/wildcat-tamer-number-9-train/
778,"No Chemise, Please / Girl of My Dreams",Single,https://rateyourmusic.com/release/single/gerry-granahan/no-chemise-please-girl-of-my-dreams/
779,Betty Moretti / Cool It Baby,Single,https://rateyourmusic.com/release/single/the-honeycones/betty-moretti-cool-it-baby/
780,Op / Vision of You,Single,https://rateyourmusic.com/release/single/the-honeycones/op-vision-of-you/
781,Gee Whiz / Rockin' in My Knees,Single,https://rateyourmusic.com/release/single/the-honeycones/gee-whiz-rockin-in-my-knees/
782,Rock 'n' Roll Blues / Night Shift,Single,https://rateyourmusic.com/release/single/norm_skylar/rock_n_roll_blues___night_shift/
783,Nursery Rock / Just to Be With You,Single,https://rateyourmusic.com/release/single/ira-allen/nursery-rock-just-to-be-with-you/
784,Hip Shakin' Mama / Riverside Jump,Single,https://rateyourmusic.com/release/single/jackie_cochran/hip_shakin_mama___riverside_jump/
785,Rockin' Party / Hey Little Girlie,Single,https://rateyourmusic.com/release/single/maddy_brothers/rockin_party___hey_little_girlie/
786,Pretty Jane / Want Me,Single,https://rateyourmusic.com/release/single/mark_robinson_f1/pretty_jane___want_me/
787,Rock and Roll Radio / That's Tough,Single,https://rateyourmusic.com/release/single/joe_boot_and_the_fabulous_winds/rock_and_roll_radio___thats_tough/
788,Gotta Lotta That / Nervous,Single,https://rateyourmusic.com/release/single/gene-summers-and-his-rebels/gotta-lotta-that-nervous/
789,Rave On! / Call on Cupid,Single,https://rateyourmusic.com/release/single/sonny-west/rave-on-call-on-cupid/
790,Hold Still Baby / I Need You Baby,Single,https://rateyourmusic.com/release/single/george_weston/hold_still_baby___i_need_you_baby/
